,SBV,SAct,SAct_a,Ras,scale_Cs,Rap,scale_Cp,tad,tad_a,AmRefLfw,AmRefRfw,AmRefSw,AmRefLA,AmRefRA,CircChangeCirc_AF,CircChangeTad_AF,SBP NSR,SBP AF,DBP NSR,DBP AF,RVSP NSR,RVSP AF,RVDP NSR,RVDP AF,LAMP NSR,LAMP AF,RAMP NSR,RAMP AF,LAEF NSR,LAEF AF,RAEF NSR,RAEF AF,LVEF NSR,LVEF AF,RVEF NSR,RVEF AF,LAMAXV NSR,LAMAXV AF,RAMAXV NSR,RAMAXV AF,LVDV NSR,LVDV AF,RVDV NSR,RVDV AF,CO NSR,CO AF
368,1641.7390369466689,0.5770789854911229,0.51611212144472,1.3923525855040377,0.8997237520782388,0.14148288143837606,1.1464416948605929,322.11149241945725,293.4841672862096,6071.843440993854,12877.05281738971,5254.877501228349,6883.165652253072,9424.762100127771,1.0879419032899682,1.3990130130837997,153.5135852769105,131.1364545193131,102.68147695161474,99.24459778447178,44.21204840792445,42.800242451564664,1.0418398409711664,2.946629181777827,18.94323004244858,22.232051772465038,8.373102448635368,10.466785301426514,59.695159552183455,3.912566843707821,46.0043549296329,3.903360899611127,66.48254882465596,46.976509330381106,69.1056567187501,46.25295562404844,66.27007825302343,29.076972590211955,76.15069195072817,43.186226289487664,124.54852094389446,93.4508412599841,117.92468414248712,95.45832236268711,4.961992006566296,4.009337132387954
369,1713.5554203090126,0.4143828219251429,0.15804129730741684,1.1323529559272167,1.0129996513964894,0.16848689826402682,1.168818463570253,365.4435824486247,323.6234716115551,7636.701145103909,15401.736280469182,4522.714019463397,6154.042115052301,9764.453858692432,1.2991474237531004,1.3697754883172526,98.99373659876268,106.14704139863467,65.11131553232218,79.13492559024972,38.37552209240459,44.151668998476104,1.345579004393424,5.286246900703723,18.080840506329753,24.308794996391306,8.54591859359356,12.445323650884548,68.10751823494066,6.690792857989011,49.220824906304244,5.6521970432445965,55.509239486437004,35.75745233078881,38.620187932544255,23.348298911733604,82.8374240718941,31.201673537497477,100.1443093002102,56.88653464720428,112.10985430178816,96.47484435256594,156.67502384469302,154.97703228128995,3.723926890861755,3.1741298412328187
370,1358.2213127774132,0.5372383754681974,0.301719012508135,1.570844905371147,0.9720678655784772,0.28178692353540297,0.8915419278327896,376.5407967836806,305.95069345141525,5474.093221080902,14273.123830966153,5009.156790115923,6340.1859379467105,10239.800785965752,1.3865882056818608,1.3358673357260735,100.96850210964594,103.52144009627216,72.60625240196302,80.13028745542786,38.03266906958501,44.51043666476027,1.6004719788121595,5.940512020059706,15.96229476910067,23.629366098599924,7.298275879151505,11.886736062021924,62.21376288419799,3.231459730246049,45.532373575697385,3.373007835366351,60.38847637741651,38.2038432891434,42.317127481806004,25.306249976149942,65.37630900559373,27.729582923432165,90.78422503364365,53.6151046736454,80.9743735230013,65.70911829550393,113.36932819637502,111.8253551927222,2.9291150519603053,2.205994894810779
371,1325.5464235690538,0.37974859454849097,0.356930548148387,1.500172393834206,0.962746011788746,0.10203208608292327,1.0903116473189802,336.0447849386227,301.7249439112514,5029.049157708569,14918.41407566756,5536.445406264254,6769.701826769184,8326.09894318994,1.192248920822688,1.3819247132592836,121.29878943541227,111.21697322953843,85.75685189459355,86.85310845305096,32.00676932158806,33.750702095681994,0.6511612818592895,2.756951063258893,15.763237530014493,20.19333408391751,6.456447366921648,8.756863633693785,57.681935875092705,4.01092819310658,41.42491547315572,3.8517419057511035,60.70127009144097,40.02115802927032,49.68773653646652,28.90509590968994,64.23688103226283,29.462410962671797,58.964477823309934,35.60301292030165,102.62421443697461,80.6857376925853,122.27895689557744,112.08838382818658,3.7308155003121177,2.967446604325724
372,1459.9820107939977,0.5211569920101586,0.289323792200689,1.1004491989555805,0.8481508452096381,0.11438301715839709,0.8998436024884392,358.5592128897902,323.29428336972745,6790.06736123574,13449.26129117969,3901.352158335766,7011.226227858885,8324.827856540707,1.1175168421223425,1.3756917937963475,115.03877440863175,100.09014983905234,68.30381055757937,70.72913452597054,41.281148160982866,40.30603723256701,1.5514478758596515,4.535153323774003,21.444854922312633,23.98071875932653,8.940668224943325,11.592056400393512,58.90789199021189,4.415538243059682,41.910800325763674,4.528104900194876,67.66337999189743,47.24548194830249,51.463709849157745,31.711526275768207,76.34022444424076,33.601147935513495,63.20875562951821,38.15388511573874,106.2091972889239,78.86066710712633,135.6465343020635,119.47146518184805,4.303625509487284,3.4680516153509755
373,1443.976298800213,0.48263116149685037,0.3786382916751521,1.7160954843953482,0.8486366540116956,0.14804396730797897,0.9173842696360827,314.2223621634727,310.9803540779782,6299.904154022012,16386.428696915475,5424.297924029878,6205.930273439512,10084.600127717196,1.2040470695402008,1.265942215722917,163.80235829414173,138.63297318842942,116.00140841917523,107.7485756946181,41.015114791428694,42.565522871737365,0.5249213744460877,3.7678737992885116,17.543065511202563,24.61116656188942,7.583567000417631,10.687196946052257,48.9242567404101,4.854361258044192,38.97562206571628,4.342654174094828,58.39663877470051,36.696486831631574,46.309065227988285,24.525662042427918,47.85750560454581,25.653238601830587,78.43782409530405,49.729580135452295,127.22063115024632,95.69682174620675,158.79746484610587,144.1892528613663,4.452487570650425,3.2083800037108974
374,1456.6420708240687,0.3629206187782969,0.39003338102205815,1.23087373791881,1.119118583037653,0.1448130216250393,1.0890131642566532,310.46594261127905,295.5625681108628,4081.2332841292314,18945.939357223746,7699.2670662640085,6553.348127999419,8735.709525963804,1.2310883466244726,1.293542025200966,112.03327552042695,102.27902442469643,77.6007661083375,79.20337024675345,33.8851683597839,35.33850025693012,0.4049026952035759,2.858372283077213,12.83729075071483,18.18466529101473,6.523097856945198,9.166858666146318,49.71454104546864,4.989102949221082,42.69153067889586,4.212734996823602,58.37003642116835,37.20139417296534,42.88068165442238,22.805946420259556,50.74392998727008,26.83810646801562,64.49100229144929,38.2772028979327,118.09435061487693,91.61913344962441,159.2368338907116,148.79100008881488,4.13046930385946,3.1337913693905883
375,1123.4607768148064,0.553324152930694,0.41286244214104767,1.2756807694369137,0.87294330046329,0.0216189382529984,1.1409458012517522,348.4776298148517,302.0834197414885,5602.15936990013,13779.3704471604,4781.123930819118,6762.325334673367,11284.424572345695,1.3856689254468801,1.270052728639457,104.74483244171493,98.4208400126776,65.93078467282044,71.38517163732175,25.959901741082206,30.406434015855464,0.5974314233858382,3.9720588176896396,14.600501328428509,22.566378007337203,5.875974087140782,9.180247414294813,54.13095483204482,2.1258266519406264,38.62438133041847,3.297828102446238,65.65819577198735,40.026182950809286,55.4263573231854,29.522389095979303,57.952712953477416,28.835384751096747,90.3158603334017,58.08821572732457,91.20756644599602,66.55046395828077,106.03964294678377,94.10707385058187,3.588125993425458,2.54069314797826
376,1270.4199309055268,0.48418409332458323,0.4338790872866166,1.4769336304465366,1.0327725926419395,0.20811592298245213,0.9746275714908746,362.0708019808618,299.97433137238227,5584.824592342989,16898.429331772513,4739.946425667594,5934.576301816138,10545.47275990967,1.3789182919300016,1.3998225627923924,94.4397972775081,103.87910890784181,67.84944493628342,81.1218571186048,31.434465878556484,37.901470646774264,0.9009468191890111,3.73660772913502,12.954676282128077,19.628312647092304,6.16123322459792,9.351877050452606,52.13887931164213,3.2682644839951904,39.65700150370556,3.2377528462364347,60.80872510301249,38.94167694634032,32.19110041643988,18.4271646142711,44.54011024237891,22.455871534601798,82.38305269835159,51.875043549407245,80.54599653650126,67.74039343843006,150.3254467689923,150.47522428057798,2.935912444016644,2.418422906511286
377,1539.3701274899786,0.2806728730132211,0.5065482621785699,1.1948408042624121,0.8267539038477855,0.1380583609572486,0.9846701213767051,322.12542658176676,297.05909395117857,6106.096889986748,12453.015550495315,3816.28513105211,6327.603833217517,9699.195429406429,1.1290711048667161,1.2861306447228846,122.28729021218174,104.09990986367207,75.82517800638522,76.11033969898125,44.3454772963419,42.24810772421482,1.3184263188902587,4.553026115186221,23.16675072850293,25.27263814833597,8.379931264984846,11.86442178999505,65.79013222860004,3.850788997748511,43.41915018127879,3.5555789058111387,63.555926841212965,44.0030091735784,50.02183357125648,30.317403148751346,66.0687593987268,25.3422261667365,76.99985406913308,45.399206032704235,114.35701694005012,82.88654792438716,140.6992855705776,123.28953313108673,4.355785698410473,3.322157980378669
